2007	1	32.7	0	17	14	554.01
2007	2	26.1	0	24	4	606.33
2007	3	37.4	0	11	20	658.42
2007	4	45.2	0	2	28	526.59
2007	5	61.4	1	0	30	760.0
2007	6	68.5	5	0	25	1110.79
2007	7	72.9	12	0	19	1348.45
2007	8	72.7	14	0	17	1471.95
2007	9	67.6	3	0	27	1518.79
2007	10	59.2	0	0	31	655.5
2007	11	43.0	0	2	28	574.19
2007	12	32.4	0	19	12	648.72
2008	1	33.4	0	19	12	776.43
2008	2	33.0	0	17	11	791.71
2008	3	38.2	0	8	23	504.7
2008	4	49.3	0	0	30	618.69
2008	5	57.7	0	0	31	861.77
2008	6	70.3	6	0	24	1207.08
2008	7	75.0	25	0	6	1513.91
2008	8	70.0	8	0	23	1886.2
2008	9	65.3	4	0	26	1560.01
2008	10	53.3	0	0	31	711.85
2008	11	43.4	0	6	24	685.15
2008	12	35.7	0	14	17	836.91
2009	1	24.9	0	31	0	901.8
2009	2	32.9	0	13	15	847.41
2009	3	37.4	0	10	21	554.48
2009	4	50.5	0	0	30	512.67
2009	5	59.5	0	0	31	661.09
2009	6	63.3	1	0	29	1457.4
2009	7	70.5	9	0	22	1480.91
2009	8	73.6	21	0	10	1375.83
2009	9	63.2	0	0	30	1822.92
2009	10	51.8	0	0	31	665.79
2009	11	48.8	0	0	30	669.0
2009	12	33.2	0	17	14	508.99
2010	1	29.6	0	22	9	420.25
2010	2	33.2	0	18	10	648.15
2010	3	43.9	0	3	28	521.09
2010	4	53.0	0	0	30	579.0
2010	5	62.8	1	0	30	837.49
2010	6	70.3	9	0	21	1151.72
2010	7	77.2	24	0	7	1511.83
2010	8	73.4	11	0	20	1527.41
2010	9	68.7	6	0	24	1544.0
2010	10	55.6	0	0	31	821.09
2010	11	44.8	0	1	29	717.67
2010	12	32.7	0	21	10	802.58
2011	1	27.6	0	29	2	653.31
2011	2	30.5	0	18	10	807.6
2011	3	38.9	0	9	22	722.71
2011	4	50.1	0	1	29	552.95
2011	5	59.2	1	0	30	760.95
2011	6	67.1	5	0	25	1493.31
2011	7	77.3	26	0	5	1629.5
2011	8	73.9	20	0	11	1668.11
2011	9	67.3	5	0	25	1837.78
2011	10	57.5	0	0	31	738.87
2011	11	50.4	0	0	30	558.69
2011	12	40.0	0	5	26	678.7
2012	1	34.2	0	13	18	751.41
2012	2	37.5	0	5	23	701.03
2012	3	46.7	0	5	26	665.32
2012	4	53.1	0	0	30	617.19
2012	5	60.3	1	0	30	882.1
2012	6	66.7	5	0	25	1132.59
2012	7	75.3	21	0	10	1429.95
2012	8	74.6	24	0	7	1559.35
2012	9	64.7	3	0	27	1681.79
2012	10	56.5	0	0	31	520.4
2012	11	42.1	0	5	25	620.49
2012	12	38.4	0	13	18	587.62
2013	1	31.5	0	17	14	519.23
2013	2	31.1	0	18	10	632.81
2013	3	37.7	0	11	20	724.3
2013	4	48.9	0	0	30	681.99
2013	5	58.8	1	0	30	743.27
2013	6	69.6	7	0	23	1350.58
2013	7	77.1	25	0	6	1731.01
2013	8	72.1	12	0	19	1679.3
2013	9	64.7	5	0	25	1799.01
2013	10	56.7	0	0	31	808.75
2013	11	42.7	0	6	24	747.85
2013	12	33.3	0	16	15	775.81
2014	1	27.5	0	21	10	761.8
2014	2	29.0	0	20	8	798.51
2014	3	33.5	0	15	16	699.78
2014	4	48.1	0	1	29	556.27
2014	5	58.7	0	0	31	756.39
2014	6	68.3	5	0	25	1376.9
2014	7	74.1	15	0	16	1392.71
2014	8	70.8	6	0	25	1589.03
2014	9	66.2	6	0	24	1511.72
2014	10	56.4	0	0	31	609.29
2014	11	42.5	0	6	24	481.8
2014	12	38.2	0	9	22	668.99
2015	1	26.2	0	26	5	588.85
2015	2	19.1	0	28	0	656.65
2015	3	33.3	0	15	16	486.49
2015	4	48.0	0	1	29	593.3
2015	5	62.3	0	0	31	682.39
2015	6	64.7	1	0	29	1352.92
2015	7	73.9	17	0	14	1412.33
2015	8	74.6	20	0	11	1456.31
2015	9	69.2	6	0	24	1709.0
2015	10	54.0	0	0	31	729.39
2015	11	48.6	0	1	29	664.37
2015	12	45.3	0	4	27	767.48
2016	1	32.6	0	15	16	777.41
2016	2	34.1	0	13	15	607.6
2016	3	42.5	0	4	27	788.21
2016	4	47.1	0	2	28	866.55
2016	5	58.6	2	0	29	996.55
2016	6	68.4	4	0	26	1287.71
2016	7	76.1	20	0	11	1503.8
2016	8	76.4	22	0	9	1637.31
2016	9	67.5	8	0	22	1700.58
2016	10	55.3	0	0	31	688.47
2016	11	46.2	0	1	29	532.29
2016	12	35.3	0	10	21	771.6
