0	61
1	101
2	114
3	102
4	81
5	72
6	91
7	64
8	119
9	117
10	99
11	79
12	112
13	98
14	117
15	66
16	61
17	89
18	116
19	112
20	69
21	105
22	109
23	116
24	82
25	78
26	88
27	77
28	61
29	66
30	64
31	102
32	108
33	72
34	80
35	98
36	85
37	85
38	110
39	82
40	104
41	119
42	112
43	105
44	119
45	102
46	116
47	118
48	86
49	115
50	79
51	114
52	88
53	66
54	72
55	103
56	102
57	117
58	95
59	75
60	71
61	119
62	83
63	113
64	87
65	100
66	80
67	85
68	108
69	82
70	88
71	101
72	86
73	114
74	92
75	94
76	117
77	71
78	101
79	85
80	112
81	107
82	74
83	94
84	78
85	71
86	117
87	87
88	116
89	96
90	100
91	71
92	70
93	82
94	65
95	90
96	117
97	92
98	100
99	90
