100	54
101	26
102	56
103	39
104	48
105	18
106	18
107	55
108	32
109	19
110	12
111	30
112	15
113	11
114	42
115	47
116	51
117	56
118	24
119	27
120	45
121	47
122	53
123	59
124	38
125	45
126	32
127	33
128	55
129	26
130	35
131	16
132	17
133	10
134	23
135	22
136	46
137	13
138	39
139	55
140	41
141	37
142	48
143	47
144	55
145	16
146	50
147	18
148	35
149	26
150	39
151	18
152	10
153	53
154	26
155	38
156	20
157	43
158	18
159	24
160	31
161	34
162	45
163	31
164	31
165	35
166	26
167	19
168	12
169	59
170	18
171	43
172	16
173	43
174	41
175	45
176	36
177	23
178	33
179	20
180	38
181	45
182	26
183	21
184	17
185	24
186	38
187	11
188	11
189	57
